,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,0,3,3,2,0,2,4,5,3,4,4,2,3,4,4,0,3,3,0,3,0,3,5,3,4,2,3,2,4,3,2,3,2,4,2,4,2,4,2,2,3,0,2,2,3,3,3,3,4,3,0,3,4,0,3,3,4,3,3,4,0,4,4,4,4,3,4,0,2,3,3,0,0,3,5,3,3,0,2,3,3,3,4,0,4,3,3,4,4,4,3,2,4,3,2,4,4,4,0,2,2,3,3,4,0,2,4,0,4,0,2,4,3,0,3,3,3,0,3,2,4
11,0,4,5,3,4,4,0,4,5,4,5,3,4,5,5,3,3,5,2,5,2,3,5,5,5,3,4,4,5,4,4,0,2,4,3,4,4,3,4,5,5,5,3,4,5,4,5,2,4,4,4,4,4,3,2,4,4,3,5,5,0,5,5,5,5,5,3,5,5,4,4,2,0,4,5,3,5,0,3,4,4,5,5,0,3,3,2,2,4,3,3,3,3,4,3,5,4,4,2,3,3,5,4,5,2,3,3,4,4,0,5,4,3,0,5,3,5,4,3,5,5
12,0,4,3,4,5,4,4,3,3,4,3,5,4,5,4,4,3,3,4,4,3,5,4,5,4,4,3,4,4,3,3,3,4,5,4,3,3,4,4,3,2,2,4,4,3,3,4,3,5,3,3,2,4,3,5,5,4,3,4,4,2,4,4,3,4,4,3,4,4,3,5,5,5,4,3,4,5,4,4,3,5,5,4,5,5,4,4,4,4,4,3,3,4,4,5,3,3,4,3,3,4,5,3,2,3,4,4,4,3,3,4,5,4,4,3,5,4,3,3,4,4
13,0,3,2,3,3,0,2,5,4,5,3,4,4,2,5,4,4,3,2,2,2,0,4,0,0,3,4,4,5,0,5,3,2,5,4,3,2,5,5,4,5,4,2,4,4,0,0,3,5,0,4,2,5,3,2,4,4,3,4,4,2,0,5,3,5,3,4,3,4,5,2,3,0,4,4,2,4,2,4,5,5,4,2,2,3,2,2,4,0,3,3,4,4,2,4,2,0,5,3,4,3,0,4,5,4,2,0,2,5,2,4,4,4,0,2,3,4,0,0,2,0
14,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,3,3,3,2,3,2,2,3,2,3,3,3,2,2,3,2,3,2,2,3,2,2,2,2,3,2,3,2,4,3,2,2,2,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,3,2,2,3,3,2,2,3,3,3,3,3,5
15,2,3,2,4,4,2,3,5,3,3,5,3,2,3,4,2,5,2,4,3,3,2,3,3,3,5,3,4,5,3,2,3,2,4,4,3,5,5,5,4,4,4,3,4,4,4,3,4,4,5,4,5,5,4,3,5,4,3,5,5,4,3,5,4,4,2,5,4,5,4,3,4,3,5,5,4,3,3,4,4,3,3,4,3,4,4,4,3,2,5,4,3,4,2,3,4,4,4,5,3,5,2,3,4,5,4,3,3,3,3,4,2,4,4,2,3,5,5,5,3,3
16,0,3,4,4,4,2,3,5,4,3,4,4,4,4,4,3,4,3,4,3,2,4,5,4,4,3,3,3,3,2,4,3,3,4,3,4,3,4,3,4,4,4,3,3,5,3,3,3,3,3,4,3,4,4,3,3,5,4,5,4,3,3,3,3,4,3,3,4,3,4,3,4,3,3,4,3,3,0,3,5,4,3,3,3,4,4,4,4,4,3,3,4,4,3,3,4,3,5,3,3,3,4,4,5,3,3,4,3,5,3,3,3,3,3,4,4,5,3,4,3,4
17,1,5,3,4,3,2,4,0,4,4,4,3,3,2,3,3,5,3,0,4,3,2,3,2,3,3,3,4,4,0,2,2,3,3,3,4,3,3,3,4,5,3,2,3,0,0,3,0,0,3,0,5,5,3,2,0,3,3,0,3,0,3,3,0,5,2,0,3,5,5,2,0,0,0,4,3,0,0,3,5,2,4,0,0,3,5,3,3,0,0,0,3,5,2,2,2,3,4,0,0,0,0,3,3,3,3,0,2,4,0,4,3,0,0,3,4,3,2,2,3,2
18,1,5,4,4,3,5,4,5,5,5,4,4,5,3,5,4,4,5,3,4,2,5,5,4,5,5,5,5,5,5,5,3,5,5,3,5,5,5,4,5,5,4,5,5,5,3,5,3,5,4,3,5,5,5,4,5,5,4,5,5,3,5,5,4,5,3,2,3,5,5,5,5,3,5,5,4,5,2,5,5,4,4,5,2,3,5,5,3,5,5,3,4,5,5,5,4,5,5,3,2,3,5,4,5,2,3,3,5,5,3,5,4,5,3,3,5,3,2,2,4,5
19,0,3,2,3,4,3,3,5,3,3,5,3,4,3,4,4,4,2,3,4,3,3,4,3,2,4,2,3,4,3,4,5,3,4,3,3,2,2,3,4,4,5,2,4,3,0,2,5,3,5,0,3,3,4,2,4,3,2,4,3,5,2,4,4,4,2,3,3,3,2,2,2,4,4,3,2,2,3,3,4,4,3,2,4,3,3,2,2,3,3,3,4,3,2,3,4,3,4,3,3,4,3,2,4,3,5,3,3,2,3,3,2,4,4,3,3,4,3,4,4,2
20,0,3,2,3,4,5,3,2,3,4,0,2,3,2,3,2,3,2,2,3,4,3,5,3,4,3,5,3,5,3,3,2,2,4,2,2,2,4,3,3,3,4,2,3,3,2,3,3,4,2,4,3,3,4,3,3,2,2,3,4,2,4,5,4,4,4,3,3,3,4,2,2,2,3,4,3,3,4,2,2,4,3,3,2,2,3,5,3,2,3,4,4,4,4,2,2,3,3,4,2,3,3,2,3,3,2,3,3,3,0,3,0,4,2,2,4,4,3,3,2,2
21,2,3,0,2,2,0,0,4,3,3,2,2,0,0,5,0,0,0,0,0,2,0,2,0,0,2,0,2,3,2,3,2,0,2,0,0,2,3,2,2,3,2,0,0,3,0,2,0,2,0,3,0,2,0,0,2,2,2,3,2,0,0,0,3,2,2,2,3,2,4,2,2,3,2,2,2,3,0,0,3,2,2,0,2,0,0,0,0,0,2,0,2,2,0,0,0,2,5,0,2,2,0,2,2,0,2,0,0,3,0,0,0,0,0,3,2,2,0,0,0,0
22,0,4,4,3,4,2,3,5,5,4,3,4,3,4,4,3,3,3,4,4,3,2,3,4,4,3,3,3,3,3,4,4,5,4,4,4,4,4,2,3,3,3,3,3,5,4,3,3,4,4,3,4,4,2,2,3,5,3,4,4,3,3,4,4,4,2,2,2,3,4,3,3,3,3,5,4,3,2,3,5,4,3,5,3,4,3,2,3,5,3,3,3,5,0,4,3,2,5,2,2,0,5,4,4,2,0,4,2,4,2,3,3,0,0,4,2,4,2,2,2,5
23,0,3,2,3,3,2,0,4,4,2,3,3,2,4,4,4,3,0,2,2,2,2,2,4,0,2,2,3,3,0,4,0,3,4,0,3,2,3,2,4,3,3,2,3,0,2,0,0,2,2,0,2,3,4,0,3,4,2,2,3,0,0,3,0,4,0,3,3,4,3,0,0,0,4,3,2,0,0,0,3,3,2,0,0,2,3,0,3,2,3,0,3,5,2,3,0,0,2,3,0,2,3,3,2,2,0,0,0,2,0,3,2,2,0,0,4,0,0,3,2,3
24,0,5,3,5,4,3,5,5,5,5,4,3,5,4,5,5,4,4,4,5,3,5,5,4,3,4,4,4,4,4,4,2,4,3,4,3,4,4,4,4,5,4,4,4,3,3,3,3,4,3,3,4,5,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,2,4,4,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4,2,2,3,4,2,3,4,3,2,2,4,4,4,3,3,3
25,0,3,3,3,3,4,4,4,4,3,4,3,2,3,4,3,4,3,3,3,4,2,2,2,2,2,3,4,4,3,3,4,3,4,3,3,3,3,3,4,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,4,2,4,2,3,3,2,3,3,3,3,3,3,4,3,3,3,0,3,3,0,3,3,3,3,2,0,2,3,3,3,4,3,3,3,3,0,3,3,3,3,4,4,4,4,3,2,3,3,3,3,3,2,3,3,2,5,5,2
26,1,3,0,3,4,2,2,5,5,5,0,2,3,2,4,2,0,0,4,3,3,2,3,0,0,2,4,3,4,0,4,0,4,4,3,3,2,4,3,3,5,4,3,4,3,0,3,0,4,0,3,0,3,4,4,4,3,3,4,5,0,2,5,4,4,0,3,4,3,5,2,3,0,4,3,3,0,2,2,5,3,4,2,0,0,4,2,4,3,3,3,4,4,2,3,2,2,5,3,5,3,2,4,4,4,0,0,2,4,0,3,4,4,0,3,4,3,0,4,2,0
27,1,4,5,3,4,3,5,5,5,5,5,3,3,3,4,4,4,5,5,5,3,4,4,4,4,3,5,4,5,5,5,5,5,5,4,3,4,4,5,4,5,3,4,3,3,4,3,3,3,5,5,5,5,3,3,3,4,2,4,2,3,4,5,5,4,3,3,4,5,5,4,5,3,3,4,4,4,5,4,5,4,5,4,3,4,4,4,4,3,3,4,3,5,4,4,5,4,5,4,4,3,3,5,5,5,4,4,4,4,3,4,5,3,4,2,4,4,4,5,4,3
28,2,4,2,5,5,4,5,5,5,5,3,3,3,3,4,4,4,3,3,5,3,4,3,3,3,3,4,4,3,5,4,3,3,4,3,3,3,3,4,5,5,4,3,3,5,3,3,3,4,4,4,3,3,3,5,4,5,3,5,4,2,3,5,4,3,2,3,4,3,4,3,5,2,4,2,3,5,2,3,3,4,3,2,3,3,4,3,4,3,4,4,3,4,3,3,4,3,5,3,2,3,3,5,5,3,2,2,3,5,2,4,5,4,2,2,5,3,3,5,4,3
29,0,5,4,4,4,3,4,5,2,4,4,0,3,4,4,2,3,0,0,4,0,5,2,4,2,3,3,3,2,0,3,4,3,4,0,5,3,4,5,2,4,5,0,4,5,3,2,4,3,5,3,5,3,4,0,5,5,4,4,4,2,3,5,5,4,5,5,4,3,4,5,3,3,4,5,2,3,0,5,4,4,4,3,3,5,4,3,4,4,4,0,4,4,5,3,4,4,4,0,2,3,2,3,5,3,3,4,5,4,0,3,0,3,0,2,4,4,4,5,0,4
30,1,4,4,2,3,2,4,4,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,0,4,3,3,3,2,3,3,4,3,3,4,3,2,3,0,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,2,2,3,4,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,3
31,0,3,2,2,4,4,0,4,4,5,3,2,3,0,4,3,3,4,3,0,2,0,0,0,0,3,5,3,2,0,3,0,0,2,0,0,0,3,0,3,5,4,3,3,3,0,0,0,3,0,0,0,2,3,3,3,0,2,4,3,0,0,3,0,2,0,2,0,4,2,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,4,2,0,3,3,3,0,0,0,2,0,2,5,2,0,2,3,0,2,5,0,0
32,0,4,3,4,3,4,3,4,4,4,4,4,3,3,3,3,2,4,3,3,3,2,2,4,2,2,2,2,4,3,3,2,2,3,4,2,3,2,4,3,2,3,2,2,0,0,0,2,3,3,4,3,3,2,4,3,2,4,4,3,4,3,3,3,2,3,4,3,3,2,3,4,3,4,3,3,4,2,2,4,3,2,4,3,2,4,3,2,4,3,2,2,4,3,2,2,4,3,4,2,2,3,2,3,2,2,4,3,3,2,2,4,4,3,2,2,3,2,2,3,2
33,0,3,4,4,4,3,2,5,4,4,4,3,5,5,5,3,2,2,2,3,3,3,4,4,4,4,4,3,3,0,5,3,4,4,3,4,3,4,2,4,4,3,2,4,3,0,2,3,3,0,2,2,3,3,0,5,4,4,4,3,3,4,4,2,4,3,3,2,4,3,2,0,2,4,3,2,3,0,2,4,3,3,2,3,3,3,0,3,4,3,4,4,3,0,4,0,0,4,0,0,3,3,4,4,0,2,3,2,3,0,3,3,4,2,2,4,0,2,2,2,3
34,0,4,4,3,4,4,2,5,4,3,4,4,5,5,4,2,4,4,2,2,3,5,4,5,5,5,3,3,3,3,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
35,0,3,3,3,3,3,3,3,3,3,5,5,2,5,4,2,4,3,5,4,5,5,4,3,2,2,3,4,4,5,3,2,5,4,4,3,5,5,4,3,3,4,4,5,5,5,5,4,4,4,4,3,3,3,3,3,0,4,4,3,3,4,3,4,3,5,4,2,3,4,3,4,2,5,5,3,2,2,2,4,4,4,5,5,5,5,4,3,3,3,3,4,3,5,5,5,4,4,5,4,3,4,3,2,2,4,4,5,4,4,4,3,3,3,3,3,2,4,4,5,5
36,0,4,4,3,3,4,4,5,4,4,4,4,3,4,5,3,4,3,4,4,4,4,5,5,4,3,3,3,4,3,4,4,4,4,3,4,3,3,3,3,4,3,4,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,5
37,0,3,2,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
38,0,5,2,4,3,3,4,4,3,4,4,4,4,3,2,0,2,5,4,4,4,3,3,3,4,3,4,4,3,3,5,5,2,2,2,5,5,5,2,3,4,4,4,4,4,4,5,3,3,3,2,4,3,2,2,4,4,2,4,4,4,3,3,4,3,5,4,4,2,3,4,3,5,4,4,3,3,0,4,3,3,4,2,2,3,2,4,4,4,4,2,3,3,3,4,4,2,5,5,3,4,4,5,5,4,4,3,4,4,4,4,4,4,4,5,5,4,2,4,3,2
39,1,4,3,2,3,2,4,3,3,3,4,3,3,3,4,2,3,2,2,3,2,3,2,2,2,3,2,3,5,0,4,5,3,4,2,4,4,4,3,2,2,2,2,2,2,2,2,5,4,3,0,3,4,3,3,3,3,2,3,5,5,2,4,3,3,2,0,0,3,3,3,3,5,3,4,3,0,0,2,3,2,2,2,4,0,2,0,4,2,2,2,2,3,3,3,3,3,3,2,2,0,2,4,3,4,4,3,3,3,3,3,3,2,3,2,4,4,3,5,3,2
40,0,4,2,2,4,2,3,0,3,5,3,2,2,2,2,2,4,3,3,3,0,2,3,2,4,4,2,2,5,2,3,4,2,4,2,0,0,3,3,3,3,3,3,2,4,2,2,3,5,3,3,4,3,3,3,3,2,4,4,4,3,4,5,4,3,2,2,3,4,4,3,3,2,2,3,3,0,2,3,3,3,2,3,2,4,3,3,0,2,3,0,3,3,3,2,2,2,3,3,0,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,3,3,0,5,3,2
41,0,4,5,5,5,2,3,4,4,5,5,3,3,2,5,4,5,2,3,3,3,4,5,3,5,4,3,5,0,2,4,5,5,5,4,5,4,5,3,2,5,5,3,4,3,5,5,4,0,5,5,3,5,5,4,3,5,3,4,3,5,3,3,5,4,5,4,3,5,5,3,5,4,3,5,5,2,4,4,5,4,3,5,4,3,5,3,4,5,4,2,5,4,3,5,4,3,5,5,2,2,5,3,4,5,5,0,4,5,3,5,2,3,4,5,5,5,4,5,3,5
42,0,4,4,3,5,3,2,4,5,5,5,3,3,4,4,4,4,3,3,4,4,3,3,4,4,3,4,3,3,2,4,4,5,4,4,5,4,4,4,5,3,5,4,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,4,3,3,5,2,0,3,2,4,3,2,3,4,4,2,2,3,3,4,3,3,3,3,4,3,3,4,4,3,3,3,4,4,4,4,3,5,3,3,2,4,3,4,2,4,3,4,4,3,3,2,3,4,3,4,3,3,4,3,4
43,2,4,5,5,4,4,4,3,4,4,5,5,3,5,3,4,4,4,5,4,3,3,5,5,5,3,4,4,3,3,4,4,5,4,4,3,4,3,4,4,4,3,4,3,4,4,5,4,4,5,4,4,3,3,3,3,4,4,4,4,4,4,3,3,4,5,3,4,4,4,2,4,4,4,4,4,3,3,3,4,4,3,5,5,5,4,5,4,5,3,5,3,4,3,5,4,4,4,4,4,3,4,4,4,4,4,5,3,4,5,4,4,5,5,4,4,4,4,4,3,4
44,0,3,4,4,3,2,4,5,4,4,3,4,3,4,5,3,3,3,4,3,2,2,4,5,3,3,3,4,3,2,4,4,4,4,3,3,3,3,3,4,4,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,0,5,4,4,5,4,4,5,5,4,5,5,5,3,5,4,3,4,3,4,3,4,4,5,5,3,4,4,4,3,3,3,4,5,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,3,3,4,4,4,4,5,5,5,5,3,4,4,4,4,5,4,4,5,5,5,4,3,4,4,4,4,3,4,4,3,4,5,5,5,4,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,4,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4,3,4,4,5
46,0,4,2,4,4,2,2,4,4,4,4,2,4,3,4,4,4,2,2,2,2,3,4,2,2,3,3,3,4,2,4,2,2,4,2,2,3,4,3,3,3,2,3,4,3,2,2,2,4,3,2,2,4,2,2,4,4,3,2,4,2,2,4,4,3,2,4,2,4,3,3,2,2,4,4,2,2,2,4,3,4,2,2,2,3,3,2,2,2,3,2,3,4,3,2,4,2,3,2,2,2,2,2,2,2,2,3,2,4,2,3,2,3,2,2,2,2,2,2,2,2
47,0,4,2,3,4,2,2,4,5,5,5,2,3,4,5,3,4,4,5,4,2,3,3,2,2,3,4,3,3,2,4,3,3,4,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,4,4,3,3,4,3,4,4,3,2,3,2,3,0,3,2,3,4,0,0,0,2,2,2,2,0,2,2,3,3,0,2,2,3,0,4,2,2,2,3,4,2,0,2,0,2,3,3,2,2,3,2,0,2,0,0,0,0,2,3,0,0,0,4,2,0,2,2,2
48,0,3,2,4,3,2,3,5,4,5,3,3,2,3,5,3,0,4,4,3,2,3,4,3,3,4,4,0,3,2,3,2,2,5,4,4,3,4,3,4,4,4,3,4,2,2,3,0,3,3,2,2,4,4,3,4,2,2,3,3,2,2,3,4,4,2,3,4,2,4,4,2,0,4,3,2,3,0,3,3,3,4,0,0,3,2,2,4,2,4,4,4,5,3,3,3,3,4,2,4,3,2,3,4,2,3,2,2,3,2,3,4,3,3,2,4,4,3,5,3,2
49,1,4,3,3,3,4,4,4,2,3,3,3,3,3,3,3,3,4,2,3,3,3,2,3,2,3,4,4,3,3,3,3,2,3,3,3,4,3,3,4,4,4,4,4,0,0,3,2,3,4,4,3,3,3,3,4,4,4,3,3,3,3,4,3,3,4,4,4,4,2,3,4,4,3,4,3,3,4,4,4,4,2,3,3,3,2,3,2,3,4,5,2,3,3,3,4,0,3,2,4,3,2,4,2,2,2,0,3,3,3,4,4,3,5,5,5,3,3,4,4,4
50,2,3,2,3,5,5,2,0,5,5,5,4,0,2,4,3,5,4,5,2,5,2,3,3,3,5,4,4,4,0,4,5,4,4,3,2,5,5,2,5,5,2,5,5,2,5,5,5,3,5,5,5,2,4,0,4,0,5,5,4,5,3,3,2,2,0,4,3,5,5,0,5,5,4,2,5,2,5,3,5,5,5,2,5,3,5,0,5,2,4,5,5,3,3,5,3,2,5,5,5,5,0,5,3,5,5,2,2,5,5,3,4,5,5,2,5,2,5,5,3,2
51,0,3,2,4,4,0,3,4,4,4,3,0,3,0,3,0,0,2,0,3,0,4,3,0,0,3,3,3,3,3,2,0,4,0,0,4,3,4,3,3,2,3,3,3,3,3,3,0,4,2,0,3,4,2,2,3,4,2,3,4,0,3,4,4,4,2,2,2,0,3,3,0,0,3,4,2,2,0,3,3,3,2,2,0,3,0,0,0,2,3,0,0,3,3,3,3,3,3,0,0,0,0,0,3,0,0,0,3,4,0,2,2,0,0,2,0,3,0,2,0,0
52,0,4,0,3,4,4,4,4,4,4,4,0,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,0,5,3,4,4,2,3,4,5,5,5,2,3,4,5,4,4,3,2,3,2,3,3,5,4,3,3,3,0,2,4,2,4,3,2,5,3,5,4,2,3,3,2,3,4,3,3,0,0,4,2,3,5,3,2,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,2,2,2,3,5,2,3,0,3,5,4,4,4,2,4,3,3,2,4,3,3,3,4,4,4,4,4,3,3,3,3,4,2,4,2,3,3,3,3,3,4,3,4,0,3,4,4,2,4,3,4
54,0,4,3,5,4,4,5,5,4,5,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,4,5,5,5,4,5,3,4,4,4,3,3,3,4,5,3,4,5,2,5,5,4,4,5,5,4,5,3,5,3,4,4,4,4,4,5,3,5,0,4,5,4,5,4,4,3,4,5,4,4,4,4,4,5,4,4,5,3,4,3,4,4,4,5,4,4,4,3,4,4,3,4,4,3,4,5,4,5,3,5,5,4
