,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
10,4,4,4,4,5,4,4,3,3,4,4,4,4,3,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,5,5,4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4
11,3,4,5,3,4,4,4,4,2,5,3,4,4,4,3,2,5,5,4,4,5,4,5,5,4,5,4,2,2,4,4,4,3,5,5,5,3,5,4,4,4,4,4,3,4,4,4,3,2,5,4,4,4,5,4,4,4,4,4,3,4,4,4,3,5,5,4,4,4,4,4,5,2,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,5,4,3,4,5,4,5,5,4,1,4,4,5,4,4,3,5,4,4,4,5,5,5,4,3,5,5,4,4,5,4,4,4,3,3,4,4,4,4,4,5,4
12,3,4,3,4,4,4,3,3,3,4,3,4,4,4,4,2,3,4,3,4,3,4,4,4,3,3,3,3,3,3,4,3,2,3,4,4,2,3,2,4,3,3,3,2,3,4,4,3,3,5,3,4,4,3,3,3,3,3,4,4,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,2,4,3,3,3,4,4,4,3,4,3,3,3,2,2,3,4,4,3,2,2,3,2,2,4,3,3,3,3,3,3,4,4,3,4,3,3,3,2,2,3,4,3,3,3,4,4
13,3,4,5,5,5,4,3,3,4,5,3,2,4,4,4,2,3,5,4,5,4,4,3,5,5,5,5,5,3,4,4,5,2,5,4,3,2,4,3,5,4,5,4,2,4,4,3,3,4,5,3,4,5,5,4,3,4,4,5,3,3,3,4,3,5,5,5,5,3,5,5,5,4,4,4,3,3,5,4,5,5,5,4,3,5,5,5,5,3,4,4,5,5,2,5,4,3,3,2,5,4,5,3,3,3,3,4,4,5,4,3,4,4,5,5,5,3,3,4,2,3,2,3,4,5,5,3,3,3,5
14,3,3,4,4,2,1,2,3,3,4,3,5,4,3,5,1,4,2,1,3,1,4,3,5,3,5,4,3,4,3,2,5,2,5,3,4,1,5,5,4,2,3,3,1,1,4,3,1,1,5,4,1,5,3,2,5,4,4,3,3,3,3,4,4,4,2,2,1,4,4,1,2,1,1,4,1,4,4,4,2,4,3,5,2,2,4,2,3,3,3,2,3,3,1,4,1,2,1,4,3,5,4,3,1,3,1,4,2,4,3,1,2,3,4,1,1,3,2,2,1,3,1,3,3,2,2,1,2,3,5
15,2,4,4,4,5,3,4,3,3,2,1,2,5,4,3,2,4,5,3,4,2,2,4,3,3,3,5,4,3,4,5,4,3,4,4,3,3,4,2,4,4,5,4,4,4,3,4,3,3,3,4,4,5,4,4,4,4,3,4,3,3,4,4,2,3,3,4,3,3,4,4,5,3,4,4,4,5,3,2,4,4,3,4,5,4,3,4,3,3,4,4,3,3,3,3,4,4,3,5,4,3,4,3,4,3,4,4,4,3,3,4,3,2,4,4,3,3,3,4,3,5,4,4,4,4,3,3,4,4,3
16,4,4,3,3,3,3,4,3,1,4,3,3,5,3,3,3,3,3,4,5,5,3,3,4,3,3,4,3,3,3,3,3,4,4,4,3,1,3,3,4,4,4,4,4,3,3,3,4,2,5,3,3,3,3,4,3,3,4,5,3,3,5,5,3,5,3,5,4,3,5,3,2,2,2,3,4,5,5,5,1,3,3,3,3,4,5,5,3,3,3,4,3,3,4,4,4,2,3,4,5,3,4,4,2,3,4,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,4
17,3,4,4,3,4,4,4,3,2,3,2,4,4,4,4,1,4,3,4,5,3,3,3,3,4,2,2,1,3,3,4,3,4,4,4,3,3,3,3,4,4,3,3,3,3,4,4,4,3,4,3,4,4,3,4,4,4,3,3,4,5,3,4,3,4,4,3,1,3,3,4,3,3,3,4,3,2,4,4,4,4,3,3,4,4,3,3,3,4,5,2,3,2,4,4,4,2,3,4,1,3,2,5,4,4,2,3,4,4,4,4,3,3,3,4,3,4,3,4,4,3,3,3,3,5,5,5,3,4,4
18,3,3,3,4,4,4,4,4,3,4,5,4,4,3,3,3,4,4,4,4,3,5,4,3,5,3,4,3,4,3,5,3,4,4,4,3,4,3,2,4,3,4,3,3,5,4,4,5,4,3,4,3,5,4,4,4,4,5,4,3,3,4,4,3,5,4,4,4,4,4,4,3,4,3,3,4,4,4,5,3,4,4,3,3,4,3,3,4,4,4,3,3,3,4,3,4,3,4,3,4,3,5,5,4,4,3,4,3,5,4,4,4,4,3,4,4,3,3,4,3,3,4,3,4,3,4,3,3,4,4
19,3,4,4,2,5,3,2,2,3,4,2,1,2,4,2,1,4,4,3,4,3,4,2,4,1,1,1,1,1,3,4,2,1,4,5,5,2,1,1,5,3,2,3,1,3,1,2,1,1,5,1,3,4,4,1,1,1,5,4,2,4,3,4,3,5,4,4,3,1,4,1,1,1,2,3,1,2,3,4,2,2,3,1,3,5,2,2,3,3,4,2,3,2,1,4,3,4,1,1,4,4,3,1,1,3,1,1,3,1,3,1,1,2,4,4,3,1,2,2,1,1,2,3,1,4,3,1,3,1,4
20,2,4,3,5,5,2,3,3,1,3,2,3,4,4,5,1,4,5,3,4,1,3,4,5,5,2,4,3,1,3,4,4,1,4,4,4,1,3,2,4,1,4,3,2,4,5,4,5,1,5,5,4,4,3,1,3,4,1,5,2,4,3,3,3,3,4,5,2,3,5,2,5,1,5,5,4,3,3,1,5,1,4,3,1,5,5,2,4,4,5,1,4,5,1,4,4,4,1,3,5,1,3,2,1,3,1,1,3,5,5,2,5,3,5,2,5,2,4,1,1,3,1,1,5,5,4,1,1,4,5
21,5,4,2,3,5,5,4,3,3,3,5,3,5,4,3,5,5,3,5,5,5,3,5,4,5,3,4,5,4,5,4,3,5,3,5,5,4,4,2,4,4,4,4,5,3,3,4,5,5,4,3,4,3,4,4,4,4,5,5,4,5,5,4,3,4,4,3,4,2,3,5,5,3,3,3,5,5,3,5,4,4,3,3,3,4,4,5,4,4,4,5,4,4,5,5,3,3,2,2,5,5,4,5,4,3,5,5,4,3,3,4,5,2,5,5,3,3,3,5,5,3,5,5,4,4,5,5,3,3,1
22,3,4,5,4,4,4,3,3,2,4,3,3,3,4,3,2,3,3,4,4,3,3,3,4,3,3,3,3,3,3,4,3,4,4,5,3,4,3,3,4,5,3,4,3,3,3,4,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3,5,4,4,4,3,3,3,5,3,3,3,3,4,3,3,3,4,3,3,4,3,4,5,3,3,4,3,4,3,4,4,3,3,3,3,2,3,5,3,4,4,1,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,4,4,3,4,3,4,3,3,4
23,1,4,2,1,5,3,3,2,4,3,3,3,4,4,2,2,3,4,4,4,4,4,4,5,4,2,4,3,3,5,4,3,3,3,4,3,2,2,2,4,3,2,2,3,2,2,3,3,2,5,3,5,3,4,4,2,4,4,4,3,3,3,4,2,2,3,4,2,3,3,2,3,2,4,2,3,3,3,3,3,5,4,3,3,4,4,3,3,3,4,2,2,3,1,4,3,3,1,4,5,5,2,3,1,4,2,4,3,1,3,4,4,2,4,5,4,3,3,5,2,3,2,3,1,5,4,2,3,3,4
24,3,4,5,5,4,4,4,3,3,4,3,3,4,3,4,1,4,5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,5,5,4,2,4,4,4,4,4,4,3,4,5,3,4,4,4,4,3,4,4,3,4,5,3,5,4,4,3,4,3,3,4,4,3,4,4,4,4,3,4,5,5,3,5,3,4,4,5,4,3,4,5,4,3,4,3,3,4,4,3,4,4,3,3,4,5,4,3,2,2,4,2,4,3,5,3,3,5,4,5,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,5
25,3,4,4,4,5,3,2,4,3,5,5,4,4,5,5,3,5,4,3,5,4,5,3,4,1,4,4,3,4,3,4,4,5,5,5,5,3,5,4,5,4,3,4,3,4,4,5,3,4,5,5,2,4,4,3,2,4,5,5,4,5,2,4,3,4,5,5,3,2,5,1,2,4,4,5,2,4,5,5,4,4,4,3,2,5,5,5,5,5,5,5,5,3,1,5,4,4,3,4,5,4,5,4,4,4,3,3,5,2,5,4,5,3,5,3,4,5,4,3,3,2,3,3,5,4,5,3,4,5,5
26,2,4,3,4,4,2,2,1,1,4,3,3,3,2,4,1,4,4,4,3,2,1,1,3,3,3,3,1,1,1,2,2,1,3,4,4,1,4,4,5,4,2,2,2,4,1,5,1,1,4,1,1,1,2,1,1,2,1,4,4,5,3,4,2,5,4,4,3,2,4,2,1,1,4,4,1,1,2,4,1,3,5,4,1,2,4,3,5,3,3,4,2,4,1,4,1,1,1,3,4,4,3,4,1,4,1,4,2,4,4,1,4,2,3,3,4,1,1,1,1,1,4,3,4,2,3,1,1,1,4
27,4,4,2,4,5,3,2,2,3,3,2,4,1,4,5,1,5,5,3,2,2,2,3,4,4,1,1,1,1,4,3,2,1,3,4,4,1,4,1,4,3,2,2,2,3,4,5,3,2,4,3,4,3,4,2,1,2,1,1,1,4,2,5,3,3,5,3,3,2,2,4,2,2,3,5,2,3,2,3,4,5,5,4,1,3,2,3,4,5,3,4,4,4,1,2,5,5,1,1,5,5,4,1,1,4,2,1,3,5,5,2,3,1,5,4,4,2,4,4,3,2,2,2,4,3,3,1,4,2,4
28,3,4,4,2,3,4,4,3,1,4,3,3,5,4,4,2,4,5,4,5,2,2,5,4,4,2,5,3,4,5,4,3,2,4,3,4,2,2,2,4,4,4,4,3,3,3,3,2,2,4,3,5,3,4,4,4,4,3,5,5,4,2,4,2,4,2,5,3,1,4,4,4,3,3,2,2,4,4,3,3,4,4,3,2,4,4,2,3,4,4,4,3,2,3,5,2,1,1,2,4,4,2,3,1,3,2,4,4,4,3,3,4,3,5,4,3,3,2,3,2,3,3,3,4,4,4,3,3,3,4
29,5,3,4,3,5,3,3,3,3,3,3,3,4,3,3,3,3,5,3,4,3,4,3,1,4,4,4,3,3,5,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,5,3,4,5,3,4,3,5,3,3,3,3,5,3,3,3,5,3,4,3,3,3,3,5,4,3,3,3,4,3,4,5,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,5,3,3,1,3,5,4,4,3,3,3,3,2,4,3,4,3,4,3,4,5,3,3,3,4,3,4,3,3,4,1,4,3,3,3,4
30,1,3,5,4,4,3,3,3,1,3,1,3,4,4,4,1,3,4,3,4,2,3,3,4,3,4,4,3,2,3,3,4,1,5,4,3,1,3,4,4,3,4,3,1,3,3,3,4,3,4,3,3,4,3,3,3,3,2,4,3,4,3,3,3,4,4,3,3,4,4,1,3,2,3,5,1,4,4,2,4,3,3,4,1,5,4,3,4,3,3,1,4,5,3,4,3,4,1,4,4,4,3,3,1,4,2,4,3,4,4,3,3,3,5,4,4,4,3,3,3,4,2,3,4,4,4,2,4,3,4
31,2,3,4,2,5,4,3,4,2,4,4,4,4,4,2,1,3,3,5,5,4,4,4,4,5,4,4,2,2,4,4,3,3,4,4,2,2,2,3,5,5,4,3,3,2,2,4,3,2,5,4,3,4,5,4,2,2,4,4,4,2,3,4,4,3,2,3,4,4,5,2,5,4,2,3,2,2,4,4,4,4,2,4,2,3,5,4,4,3,4,4,4,4,4,4,2,2,2,3,4,4,4,4,1,4,2,2,3,2,2,3,4,4,4,4,3,4,2,4,3,4,2,4,2,3,4,3,3,2,2
32,2,4,3,5,5,2,3,3,2,4,2,5,3,4,4,1,3,4,2,4,3,4,3,4,4,5,5,2,3,4,4,3,1,4,4,3,2,2,5,5,4,2,4,1,4,4,4,5,2,5,3,3,4,5,4,4,2,3,5,4,4,3,4,4,4,3,4,4,4,4,4,2,2,4,5,3,3,5,4,3,4,3,5,1,4,3,3,4,3,4,2,4,4,3,4,4,4,1,4,5,4,1,5,1,3,1,4,4,4,3,3,4,4,3,4,3,4,3,3,2,4,2,1,4,5,4,1,3,5,4
33,4,4,4,4,5,4,3,3,3,3,4,4,4,4,4,2,3,4,4,3,3,4,3,4,4,4,2,4,2,4,3,3,3,4,4,4,4,4,2,4,4,3,3,2,2,3,4,3,3,4,2,3,4,4,3,2,2,3,2,3,4,3,5,4,4,4,2,2,2,3,4,2,3,2,3,3,2,2,2,2,2,3,3,4,2,1,2,4,3,2,3,2,3,2,2,2,2,3,1,3,2,3,3,2,2,2,2,3,4,2,2,2,2,3,4,3,2,2,3,2,2,2,2,4,2,2,2,2,2,5
34,2,3,3,3,5,3,4,3,4,5,3,3,4,4,5,3,4,4,3,4,3,4,4,4,5,4,4,3,3,5,4,5,3,4,5,3,3,5,3,5,4,3,4,2,2,3,3,3,3,5,3,4,5,3,3,3,4,3,4,3,3,3,5,3,4,4,4,2,2,4,3,5,3,4,5,5,3,3,3,3,5,4,3,3,4,3,2,4,3,3,4,3,3,2,4,3,3,1,2,3,5,4,4,3,4,2,2,3,5,3,2,2,2,5,4,4,3,3,3,4,3,2,3,5,4,3,2,2,3,5
35,2,2,4,2,2,2,4,4,3,4,4,5,5,3,2,3,3,2,3,5,4,5,2,4,2,5,4,3,4,3,3,3,3,3,3,3,4,3,4,4,4,5,3,3,3,3,3,3,3,5,3,4,3,3,4,3,3,3,5,4,3,3,5,5,5,3,3,3,4,5,3,3,3,3,3,3,4,4,4,2,2,3,4,3,3,5,5,3,2,3,4,3,3,3,4,3,3,4,4,3,3,4,4,4,3,3,4,3,3,3,3,4,4,4,2,2,4,3,2,3,4,4,3,3,4,4,3,3,3,4
36,3,3,4,4,5,4,3,3,3,4,2,4,5,4,4,4,5,5,4,5,4,3,2,4,3,2,5,3,3,4,3,4,3,4,3,3,4,3,3,3,3,4,4,3,4,3,4,4,4,3,3,3,3,4,4,4,4,5,5,3,3,2,5,4,5,3,4,3,4,4,3,3,3,4,3,3,5,5,4,3,4,3,4,3,4,4,3,4,3,4,3,5,4,3,4,3,3,3,3,4,3,4,3,3,3,4,5,4,3,2,4,5,3,4,3,4,4,4,4,3,3,3,1,3,4,4,2,4,5,5
37,2,4,3,3,5,3,2,4,3,4,4,4,5,3,3,2,4,2,4,4,2,3,3,4,3,2,5,2,3,2,2,2,4,3,4,4,3,4,4,4,3,3,3,2,2,3,5,3,2,5,2,3,2,2,3,2,4,2,5,3,4,2,4,2,2,4,4,2,2,4,3,2,3,3,4,3,5,4,3,4,3,2,4,3,3,3,2,4,4,4,4,3,3,3,5,3,3,3,2,4,2,4,4,3,4,2,5,2,3,2,3,4,3,5,4,3,5,3,3,3,5,3,3,4,5,5,2,3,3,5
38,3,3,3,3,3,3,3,1,1,3,1,2,3,3,4,3,3,4,4,3,3,3,3,3,3,2,3,4,3,4,4,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,2,2,3,2,2,2,3,2,3,3,3,2,2,2,2,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,2,4,3,3,3,2,2,2,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,2,3
39,4,4,5,4,3,4,5,3,3,4,3,4,5,4,4,4,4,5,4,4,3,5,3,4,4,4,4,3,4,3,4,3,3,4,5,4,4,5,4,5,4,5,5,3,4,4,4,5,4,5,3,3,3,3,3,3,5,4,5,4,5,4,4,4,5,5,5,5,4,5,3,3,3,4,5,5,3,5,3,4,4,4,4,3,4,5,4,4,4,4,3,4,3,3,5,4,5,3,4,5,4,3,3,3,4,3,3,4,5,5,4,4,4,4,4,4,5,4,3,3,4,4,4,5,5,5,3,3,4,5
40,3,5,4,4,4,4,4,3,3,3,3,3,4,4,4,2,4,5,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,5,5,5,4,3,5,4,4,3,5,5,5,4,3,5,4,5,3,5,4,5,3,5,4,3,5,3,3,5,4,4,5,3,5,3,4,5,4,3,3,5,4,5,3,4,5,3,5,3,4,5,3,4,5,3,4,5,3,5,4,3,5,4,4,3,5,3,5,3,4,3,5,4,5,3,5,3,5,4,3,4,5,3,5,4,3,5,4,5,4,3,5,4,5,3,4,5
41,3,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,4,4,4,3,3,4,3,4,4,3,3,3,4,4,4,3,4,3,4,3,3,4,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,4,4,3,3,3,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3,3,4
42,3,3,3,4,4,4,4,4,3,4,5,4,4,3,5,2,4,4,5,5,5,5,5,5,5,5,5,2,1,5,5,3,3,5,5,4,3,4,5,5,5,5,3,2,3,4,3,4,3,5,3,4,5,5,4,4,5,4,5,1,3,4,5,5,5,3,4,3,3,5,5,5,5,2,3,3,4,5,5,3,5,5,4,3,5,5,3,3,3,2,2,3,3,5,5,5,1,1,5,5,5,5,5,2,3,3,4,4,4,5,5,4,5,4,5,5,4,5,4,3,5,5,3,5,5,5,3,3,5,5
43,1,1,4,2,2,2,3,4,3,2,2,2,4,3,2,1,1,2,2,5,4,5,4,4,5,2,4,1,1,3,2,4,1,1,2,2,1,1,1,5,1,3,2,1,4,2,2,2,1,5,1,3,1,1,1,1,1,1,5,1,1,4,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,5,4,1,3,1,5,3,1,1,1,1,1,1,4,5,1,1,1,2,4,1,1,1,1,1,1,3,1,1,3,3,3,4,4,4,1,4,1,1,1,5,1,1,1,1,5,1,1,1,5
44,1,1,5,5,1,3,3,3,1,4,1,3,4,3,5,1,1,5,4,5,3,3,3,3,3,5,4,3,3,2,4,3,3,5,5,1,1,1,5,3,5,3,5,1,1,5,3,5,3,5,3,3,3,3,3,3,1,3,5,5,3,3,3,5,4,3,4,4,5,5,3,3,3,3,5,3,3,4,3,3,3,3,5,3,3,4,3,5,4,4,5,5,3,3,4,3,5,1,5,5,4,2,3,1,5,3,3,4,4,3,4,3,3,2,3,3,5,3,3,3,5,1,3,4,3,4,3,4,5,5
45,1,5,5,4,5,3,3,4,1,5,2,3,5,5,4,1,5,1,3,5,4,3,4,5,5,1,5,5,1,3,5,4,4,5,5,5,1,5,1,5,5,5,5,3,5,4,5,1,1,5,5,5,5,5,4,1,5,4,5,4,5,4,4,3,5,5,5,4,1,5,2,5,1,5,5,3,5,3,4,5,5,4,4,2,5,5,4,5,5,5,2,5,5,3,5,5,4,1,1,5,5,3,2,1,5,3,4,4,5,5,5,3,4,5,4,4,1,5,3,4,1,3,4,2,5,5,3,4,1,5
46,4,4,3,3,4,2,4,4,3,5,5,4,4,4,4,4,3,4,4,3,1,3,4,3,5,4,3,3,4,5,4,4,4,5,3,4,3,4,3,3,3,4,5,2,5,4,2,4,5,2,4,3,3,4,5,5,3,2,3,2,4,2,4,4,4,3,4,3,4,3,5,3,3,4,4,5,3,3,4,2,4,4,3,2,4,4,3,5,4,3,3,4,4,4,3,4,3,4,3,4,5,3,4,3,4,3,4,3,4,5,4,4,3,3,3,4,4,3,4,2,4,4,3,3,3,3,5,4,4,3
47,5,5,4,2,2,4,5,5,5,4,4,3,2,3,5,5,5,5,5,4,3,4,4,5,5,5,4,3,3,5,4,4,3,2,4,5,3,3,2,3,4,4,5,4,3,3,3,4,4,3,4,4,4,4,4,3,4,3,3,3,4,4,3,2,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,3,4,4,3,3,3,4,4,4,4,4,3,3,3,4,3,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4
48,3,3,3,3,3,3,2,2,3,3,4,4,5,3,3,2,3,4,3,4,2,4,4,4,3,2,5,4,3,3,3,4,2,4,4,3,3,4,2,5,4,5,3,3,3,3,4,4,4,4,1,2,4,4,4,1,5,2,5,3,3,3,5,5,4,4,3,3,2,4,3,3,2,3,4,2,5,5,3,3,4,4,4,2,4,5,4,4,4,4,4,4,3,1,5,3,3,1,3,4,5,1,5,1,2,3,5,3,4,3,3,5,5,5,4,4,2,4,3,3,5,4,3,2,5,5,1,2,3,5
49,4,4,4,3,3,3,4,2,1,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,2,3,3,4,4,3,2,2,3,4,2,3,1,3,3,3,4,1,3,3,3,3,2,3,3,3,3,3,3,3,4,2,4,3,4,4,3,3,2,3,4,4,2,4,2,1,1,3,3,2,3,3,3,3,4,4,3,3,4,3,3,4,3,4,3,3,4,2,3,3,3,1,3,3,3,3,2,1,4,1,2,3,4,4,2,3,3,3,4,3,3,3,3,2,3,4,3,4,4,3,3,3,4,4
50,5,5,5,5,4,3,2,3,4,3,5,3,2,3,2,4,4,3,4,4,2,3,5,2,4,4,4,3,3,3,2,2,3,4,3,4,5,3,3,3,3,2,4,2,4,4,4,4,3,1,2,3,4,3,2,4,2,3,3,3,3,2,2,3,4,2,2,3,4,3,4,4,3,2,4,4,4,3,2,4,3,4,4,3,1,1,3,3,3,4,3,5,3,2,1,5,2,2,1,3,4,3,3,2,4,2,2,4,5,3,3,2,1,4,4,3,3,1,3,4,5,4,3,3,1,2,4,2,4,3
